STE_CODE21,STE_NAME21,SAL_CODE21,SAL_NAME21,area,bf_area,bf_area_pct,cent_lat,cent_lon
2,Victoria,22780,Whroo,164.1728315094295,164.17283150942953,1.0000000000000002,-36.683729296368746,145.0396062163838
2,Victoria,22781,Wickliffe,172.11269903888214,172.11269903888214,1,-37.697263012045646,142.7136127574481
2,Victoria,22782,Wilby,110.35028332982712,110.3502833298273,1.0000000000000018,-36.15523529417814,146.04843293430915
2,Victoria,22783,Wild Dog Valley (Vic.),13.975404930313767,13.975404930313603,0.9999999999999883,-38.368089892894204,145.94191408229062
2,Victoria,22784,Wildwood,41.41006425867245,41.41006425867189,0.9999999999999865,-37.55889069224224,144.80015898248143
2,Victoria,22785,Wilkur,121.5293401655555,121.52934016555517,0.9999999999999973,-36.04713877770962,142.65784916935482
2,Victoria,22786,Willangie,175.30549854729975,175.3054985472998,1.0000000000000002,-35.71261460631122,142.8193633507025
2,Victoria,22787,Willatook,64.80184197525092,64.80184197525091,0.9999999999999998,-38.15111397895201,142.223509597645
2,Victoria,22788,Willaura,445.91378185272276,445.9137818527226,0.9999999999999997,-37.51989771977132,142.70970818151775
2,Victoria,22789,Willaura North,113.00395168399879,113.00395168399874,0.9999999999999994,-37.387262190044574,142.7453929230957
2,Victoria,22790,Willenabrina,123.4946786097869,123.49467860978692,1.0000000000000002,-36.05317897550959,142.22541209387455
2,Victoria,22791,Williams Landing,3.8333393435013723,0.948209398942976,0.24735858581121115,-37.862022430892914,144.74305744922128
2,Victoria,22792,Williamstown (Vic.),5.579240620482845,,0,-37.86117692109018,144.8899467785184
2,Victoria,22793,Williamstown North,1.7947487217595612,,0,-37.85263344499471,144.868877947431
2,Victoria,22794,Willow Grove,78.2369648602448,75.42452141829507,0.9640522424793241,-38.073146982337,146.16432637513324
2,Victoria,22795,Willowmavin,57.349180495599356,57.34918049559898,0.9999999999999934,-37.24856922706629,144.86722091437034
2,Victoria,22796,Willowvale (Vic.),33.250180952636065,33.25018095263618,1.0000000000000033,-37.8490321148033,143.46335308202163
