fid,STE_CODE21,STE_NAME21,SAL_CODE21,SAL_NAME21,area,bf_area,bf_area_pct
"9223","1",New South Wales,"11657",Glen Ward,108.088821044458,89.4024801778731,0.827120504359106
"9224","1",New South Wales,"11658",Glen William,26.2216989684221,16.2490773982565,0.619680571339969
"9225","1",New South Wales,"11659",Glenbawn,114.507014795697,91.4876794755687,0.798970086145383
"9226","1",New South Wales,"11660",Glenbrook,7.04547053636304,5.74873548584396,0.815947700891462
"9227","1",New South Wales,"11661",Glencoe (NSW),156.217858112379,156.02285251185,0.998751707372735
"9228","1",New South Wales,"11662",Glendale (NSW),3.87720986710668,2.05855843440498,0.530938098520096
"9229","1",New South Wales,"11663",Glendenning,3.58024947486817,0.150517422867254,0.0420410432076932
"9230","1",New South Wales,"11664",Glendon,10.7181770384406,9.97109705366392,0.930297849895809
"9231","1",New South Wales,"11665",Glendon Brook,162.411899630169,162.406770083016,0.999968416432757
"9232","1",New South Wales,"11666",Glenelg (NSW),146.287963944205,10.6706319846444,0.0729426515821509
"9233","1",New South Wales,"11667",Glenellen,36.5785647819298,1.69144055127025,0.0462413044731005
"9234","1",New South Wales,"11668",Glenfield (NSW),7.0113824006527,4.10474431578961,0.585440086024618
"9235","1",New South Wales,"11669",Glenfield Park,3.05552323409744,0.0136690312398933,0.00447354845394619
"9236","1",New South Wales,"11670",Glengarrie,6.52412704797043,6.47265784083503,0.992110943463094
"9237","1",New South Wales,"11671",Glenhaven,7.23292297481292,5.17365385956196,0.715292265323174
"9238","1",New South Wales,"11672",Gleniffer,64.2958844887835,51.7510988670159,0.804889757384766
"9239","1",New South Wales,"11673",Glenmore (NSW),6.70852544109732,6.7085254410975,1.00000000000003
"9240","1",New South Wales,"11674",Glenmore Park,9.75095293965108,3.06142860600287,0.313961991709952
"9241","1",New South Wales,"11675",Glennies Creek,40.3201047654843,30.8972971009883,0.766300020317349
"9242","1",New South Wales,"11676",Glenning Valley,5.67469653839228,5.25442012869042,0.925938522552093
"9243","1",New South Wales,"11677",Glenorie,79.6408101261395,74.3255706125498,0.933259851260037
"9244","1",New South Wales,"11678",Glenquarry,45.0715508690875,12.9882952344193,0.288170586189601
"9245","1",New South Wales,"11679",Glenreagh,86.8766956262877,83.9234722678694,0.966006725542118
"9246","1",New South Wales,"11680",Glenridding,9.37186151760814,4.53331984435836,0.483716051057842
"9247","1",New South Wales,"11681",Glenrock (NSW),305.587972340359,305.587972321695,0.999999999938924
"9248","1",New South Wales,"11682",Glenroy (Albury - NSW),8.05143486292175,6.51537577347603,0.809219211780556
"9249","1",New South Wales,"11683",Glenroy (Snowy Valleys - NSW),96.905085669267,39.8356678991041,0.411079228958752
"9250","1",New South Wales,"11684",Glenthorne,9.23913486599965,4.44177892909513,0.480757018218344
"9251","1",New South Wales,"11685",Glenugie,107.166013657718,78.5596705994407,0.733065156742285
"9252","1",New South Wales,"11686",Glenwood (NSW),5.13133102195894,,0
"9253","1",New South Wales,"11687",Glenworth Valley,22.8209046729568,21.64553581833,0.948495957041542
"9254","1",New South Wales,"11688",Glossodia,15.5710727469073,13.2928117675321,0.853686318444071
"9255","1",New South Wales,"11689",Gloucester,59.3985696798157,12.166960749355,0.204835921385653
"9256","1",New South Wales,"11690",Gloucester Tops,79.0040334034331,78.9226160480342,0.998969453179901
"9257","1",New South Wales,"11691",Goat Island,0.315289934674436,,0
"9258","1",New South Wales,"11692",Gobarralong,208.57674917582,92.4053321867985,0.443027962378037
"9259","1",New South Wales,"11693",Gobbagombalin,43.2294182744479,41.0707858001849,0.950065659904127
